state,gender,year,name,occurrences,NameRank
AK,M,2018,Oliver,54,1
AK,F,2018,Aurora,46,2
AK,F,2018,Amelia,45,3
AK,F,2018,Charlotte,44,4
AK,F,2018,Olivia,44,4
AK,M,2018,Logan,44,4
AK,M,2018,Liam,42,5
AK,F,2018,Sophia,41,6
AK,M,2018,Elijah,41,6
AK,M,2018,Michael,41,6
AK,F,2018,Emma,39,7
AK,M,2018,Benjamin,39,7
AK,F,2018,Evelyn,36,8
AK,M,2018,James,36,8
AK,M,2018,William,34,9
AK,M,2018,Grayson,31,10
AL,M,2018,William,371,1
AL,M,2018,James,329,2
AL,F,2018,Ava,294,3
AL,M,2018,John,287,4
AL,M,2018,Elijah,281,5
AL,F,2018,Olivia,260,6
AL,M,2018,Noah,244,7
AL,M,2018,Liam,217,8
AL,F,2018,Harper,204,9
AL,F,2018,Emma,203,10
AR,F,2018,Ava,169,1
AR,M,2018,Noah,160,2
AR,M,2018,Elijah,159,3
AR,M,2018,William,157,4
AR,F,2018,Olivia,154,5
AR,F,2018,Emma,147,6
AR,M,2018,Liam,137,7
AR,M,2018,Oliver,127,8
AR,F,2018,Amelia,125,9
AR,M,2018,Wyatt,122,10
AZ,M,2018,Liam,463,1
AZ,F,2018,Emma,460,2
AZ,F,2018,Olivia,419,3
AZ,M,2018,Noah,382,4
AZ,F,2018,Mia,372,5
AZ,F,2018,Isabella,371,6
AZ,F,2018,Sophia,362,7
AZ,M,2018,Sebastian,355,8
AZ,M,2018,Oliver,301,9
AZ,M,2018,Benjamin,297,10
CA,F,2018,Emma,2751,1
CA,M,2018,Noah,2572,2
CA,F,2018,Mia,2504,3
CA,F,2018,Olivia,2472,4
CA,M,2018,Liam,2415,5
CA,M,2018,Sebastian,2216,6
CA,F,2018,Isabella,2203,7
CA,F,2018,Sophia,2156,8
CA,M,2018,Mateo,2102,9
CA,F,2018,Camila,2086,10
CO,M,2018,Liam,332,1
CO,F,2018,Olivia,327,2
CO,M,2018,Oliver,276,3
CO,F,2018,Emma,267,4
CO,M,2018,William,267,4
CO,F,2018,Charlotte,266,5
CO,M,2018,Noah,243,6
CO,M,2018,Benjamin,229,7
CO,F,2018,Evelyn,224,8
CO,M,2018,Henry,221,9
CO,F,2018,Isabella,214,10
CO,F,2018,Sophia,214,10
CT,M,2018,Noah,237,1
CT,M,2018,Liam,219,2
CT,F,2018,Olivia,203,3
CT,F,2018,Emma,201,4
CT,F,2018,Isabella,181,5
CT,M,2018,Benjamin,178,6
CT,F,2018,Charlotte,171,7
CT,F,2018,Ava,167,8
CT,M,2018,Logan,166,9
CT,M,2018,Lucas,165,10
DC,M,2018,William,84,1
DC,M,2018,James,79,2
DC,M,2018,Henry,64,3
DC,M,2018,Alexander,61,4
DC,M,2018,Benjamin,59,5
DC,M,2018,John,55,6
DC,F,2018,Ava,54,7
DC,M,2018,Theodore,51,8
DC,M,2018,Daniel,48,9
DC,M,2018,Thomas,48,9
DC,F,2018,Olivia,47,10
DC,M,2018,Samuel,47,10
DE,M,2018,Liam,63,1
DE,M,2018,Noah,59,2
DE,F,2018,Ava,49,3
DE,M,2018,Mason,49,3
DE,F,2018,Isabella,47,4
DE,M,2018,Logan,47,4
DE,M,2018,James,44,5
DE,F,2018,Charlotte,43,6
DE,F,2018,Olivia,43,6
DE,M,2018,John,42,7
DE,F,2018,Sophia,41,8
DE,M,2018,Alexander,41,8
DE,M,2018,William,40,9
DE,F,2018,Emma,39,10
DE,M,2018,Carter,39,10
FL,M,2018,Liam,1439,1
FL,M,2018,Noah,1297,2
FL,F,2018,Isabella,1268,3
FL,F,2018,Emma,1223,4
FL,F,2018,Olivia,1123,5
FL,M,2018,Lucas,1097,6
FL,F,2018,Sophia,1026,7
FL,F,2018,Mia,947,8
FL,M,2018,Elijah,942,9
FL,F,2018,Ava,932,10
GA,F,2018,Ava,676,1
GA,M,2018,William,643,2
GA,M,2018,Noah,629,3
GA,M,2018,Elijah,540,4
GA,M,2018,Liam,537,5
GA,F,2018,Olivia,523,6
GA,F,2018,Emma,518,7
GA,M,2018,James,491,8
GA,M,2018,Mason,468,9
GA,F,2018,Amelia,425,10
HI,M,2018,Liam,81,1
HI,M,2018,Noah,70,2
HI,F,2018,Emma,65,3
HI,F,2018,Isabella,60,4
HI,F,2018,Aria,54,5
HI,F,2018,Mila,51,6
HI,M,2018,Elijah,51,6
HI,F,2018,Olivia,50,7
HI,F,2018,Mia,49,8
HI,M,2018,Logan,49,8
HI,M,2018,Ezra,47,9
HI,M,2018,Ethan,46,10
HI,M,2018,Lucas,46,10
IA,M,2018,Oliver,185,1
IA,M,2018,Liam,176,2
IA,M,2018,Henry,169,3
IA,M,2018,William,163,4
IA,F,2018,Harper,161,5
IA,F,2018,Evelyn,158,6
IA,F,2018,Emma,157,7
IA,M,2018,Owen,157,7
IA,F,2018,Charlotte,153,8
IA,F,2018,Olivia,147,9
IA,M,2018,Wyatt,146,10
ID,M,2018,Liam,122,1
ID,M,2018,Oliver,113,2
ID,F,2018,Olivia,102,3
ID,F,2018,Emma,96,4
ID,F,2018,Evelyn,86,5
ID,F,2018,Harper,86,5
ID,M,2018,William,85,6
ID,M,2018,Henry,84,7
ID,M,2018,James,84,7
ID,F,2018,Charlotte,82,8
ID,M,2018,Hudson,82,8
ID,M,2018,Jackson,80,9
ID,F,2018,Amelia,75,10
ID,M,2018,Benjamin,75,10
ID,M,2018,Owen,75,10
IL,F,2018,Olivia,718,1
IL,M,2018,Noah,718,1
IL,M,2018,Liam,712,2
IL,F,2018,Emma,643,3
