state,gender,year,name,occurrences
AK,F,2012,Charlie,9
AK,F,2014,Charlie,6
AK,F,2015,Charlie,6
AK,F,2016,Charlie,9
AK,F,2017,Charlie,7
AK,F,2018,Charlie,9
AK,F,2019,Charlie,9
AK,F,2020,Charlie,5
AK,F,2021,Charlie,12
AK,F,2022,Charlie,12
AK,F,2022,Oakley,5
AK,M,1925,Charlie,7
AK,M,1932,Charlie,6
AK,M,1941,Charlie,6
AK,M,1943,Charlie,9
AK,M,1951,Charlie,7
AK,M,1952,Charlie,8
AK,M,1953,Charlie,8
AK,M,1955,Charlie,7
AK,M,1957,Charlie,6
AK,M,1958,Charlie,8
AK,M,1961,Charlie,7
AK,M,1962,Charlie,11
AK,M,1963,Charlie,6
AK,M,1966,Charlie,6
AK,M,1973,Charlie,8
AK,M,1976,Charlie,5
AK,M,1980,Charlie,7
AK,M,1981,Charlie,5
AK,M,1985,Charlie,5
AK,M,1988,Charlie,8
AK,M,1989,Charlie,5
AK,M,1996,Charlie,6
AK,M,1998,Charlie,5
AK,M,2005,Charlie,5
AK,M,2008,Charlie,8
AK,M,2009,Charlie,5
AK,M,2010,Charlie,7
AK,M,2011,Charlie,9
AK,M,2012,Charlie,8
AK,M,2013,Charlie,10
AK,M,2014,Charlie,9
AK,M,2015,Charlie,7
AK,M,2016,Charlie,5
AK,M,2017,Charlie,6
AK,M,2018,Charlie,9
AK,M,2019,Charlie,6
AK,M,2021,Charlie,7
AK,M,2022,Charlie,9
AL,F,1910,Charlie,7
AL,F,1911,Charlie,6
AL,F,1912,Charlie,9
AL,F,1913,Charlie,9
AL,F,1914,Charlie,17
AL,F,1915,Charlie,20
AL,F,1916,Charlie,16
AL,F,1917,Charlie,27
AL,F,1918,Charlie,17
AL,F,1919,Charlie,13
AL,F,1920,Charlie,25
AL,F,1921,Charlie,19
AL,F,1922,Charlie,16
AL,F,1923,Charlie,15
AL,F,1924,Charlie,21
AL,F,1925,Charlie,14
AL,F,1926,Charlie,27
AL,F,1927,Charlie,28
AL,F,1928,Charlie,25
AL,F,1929,Charlie,28
AL,F,1930,Charlie,27
AL,F,1931,Charlie,28
AL,F,1932,Charlie,24
AL,F,1933,Charlie,30
AL,F,1934,Charlie,13
AL,F,1935,Charlie,22
AL,F,1936,Charlie,25
AL,F,1937,Charlie,25
AL,F,1938,Charlie,16
AL,F,1939,Charlie,21
AL,F,1940,Charlie,23
AL,F,1941,Charlie,18
AL,F,1942,Charlie,21
AL,F,1943,Charlie,23
AL,F,1944,Charlie,13
AL,F,1945,Charlie,15
AL,F,1946,Charlie,17
AL,F,1947,Charlie,21
AL,F,1948,Charlie,13
AL,F,1949,Charlie,10
AL,F,1950,Charlie,21
AL,F,1951,Charlie,19
AL,F,1952,Charlie,11
AL,F,1953,Charlie,13
AL,F,1954,Charlie,6
AL,F,1955,Charlie,6
AL,F,1956,Charlie,12
AL,F,1957,Charlie,7
AL,F,1958,Charlie,9
AL,F,1959,Charlie,10
AL,F,1961,Charlie,7
