name,decade,occurrences,is_in_tv_names
Abby,1990,13692,1
Adam,1960,22778,1
Adam,1980,195513,1
Albert,1970,22003,1
Alexis,1980,30832,1
Archie,1970,1901,1
Arya,2010,15549,1
Ben,1960,7643,1
Blake,1980,25570,1
Bobby,1980,22059,1
Candy,1960,7234,1
Carmela,2000,548,1
Caroline,1970,12048,1
Caroline,1990,36728,1
Chandler,1990,16740,1
Chandler,2000,12141,1
Charles,1970,163798,1
Christopher,2000,203529,1
Claudia,1980,13554,1
Cliff,1980,578,1
Crystal,1980,141243,1
Daenerys,2010,376,1
Denise,1980,25068,1
Dominique,1980,19448,1
Donna,1980,12772,1
Doug,1990,6,1
Dustin,2010,6199,1
Edith,1970,3747,1
Elaine,1990,4936,1
Elizabeth,1990,172901,1
Ellie,1980,282,1
Elvin,1980,691,1
Eric,1960,152466,1
Fallon,1980,2980,1
George,1990,35183,1
Gloria,1970,13940,1
Hank,2010,4567,1
Harriet,1970,425,1
Howard,1970,12723,1
Hurley,2000,6,1
Jack,2000,95524,1
James,2000,163252,1
Jamie,1960,35435,1
Jeff,1980,3239,1
Jennifer,2000,63454,1
Jerry,1990,16365,1
Jesse,2010,25025,1
Jessie,2010,6413,1
Jim,2010,196,1
Joanie,1970,400,1
Joey,1990,5243,1
Joey,2000,4833,1
John,1990,240289,1
John,2000,161100,1
Jon,2010,3177,1
Joseph,1960,283747,1
Kate,2000,20589,1
Kerry,1990,5000,1
Kramer,1990,100,1
Kristal,1980,3884,1
Krystal,1980,37473,1
Krystle,1980,10620,1
Laura,1970,118339,1
Lucas,2010,118597,1
Lucy,1950,13374,1
Marion,1970,4428,1
Mark,1990,75828,1
Mary,1970,126440,1
Mike,2010,1631,1
Monica,1990,38912,1
Monica,2000,14449,1
Nellie,1970,899,1
Olivia,1980,13877,1
Pamela,1980,25642,1
Peter,1990,42362,1
Phoebe,1990,2735,1
Phoebe,2000,7775,1
Rachel,1990,149215,1
Rachel,2000,68371,1
Ralph,1970,14497,1
Ray,1980,7482,1
Richard,1950,535992,1
Richie,1970,603,1
Ricky,1950,79216,1
Ross,1990,10203,1
Ross,2000,3055,1
Rudy,1980,4863,1
Sammy,1980,2186,1
Sansa,2010,11,1
Saul,2010,5946,1
Skyler,2010,17180,1
Sondra,1980,1359,1
Steven,1980,178006,1
Susan,1990,10595,1
Theo,1980,170,1
Tony,2000,9591,1
Tyrion,2010,40,1
